date,factor,ic,rank_ic
2021-01-18,amplitude_20,0.2084441555955946,0.16715018110840488
2021-01-18,volume_mean_5,-0.153550422703403,-0.15243774410429747
2021-01-18,volume_mean_20,-0.14379556109176267,-0.1517098503767104
2021-01-18,volume_mean_60,,
2021-01-18,amount_mean_5,0.17284629062147897,0.22167163596287007
2021-01-18,amount_mean_20,0.2231460884298277,0.23746133066899014
2021-01-18,amount_mean_60,,
2021-01-18,turnover_mean_5,0.1587924837959486,0.08290989516343011
2021-01-18,turnover_mean_20,0.1551235542202601,0.10093926287751048
2021-01-18,turnover_mean_60,,
2021-01-18,corr_ret_volume_10,-0.3765177786689753,-0.3049734739026932
2021-01-18,corr_ret_volume_20,-0.3765177786689753,-0.3049734739026932
2021-01-18,corr_close_volume_20,-0.30265621524551833,-0.33337532723488966
2021-01-18,corr_ret_amount_20,-0.376046184424438,-0.2887498425512809
2021-01-18,volume_chg_5_20,-0.05518058372330992,-0.1561751984363312
2021-01-18,amount_chg_5_20,-0.07788461430744033,-0.1766822044154677
2021-01-18,turnover_chg_5_20,-0.06774528035680104,-0.15686109829501907
2021-01-18,close_to_high_20,-0.3817426860065315,-0.3002183711750049
2021-01-18,close_to_low_20,0.03910028115638872,-0.026862078139223772
2021-01-18,close_position_20,-0.1845561689082428,-0.25213560057687
2021-01-18,close_position_60,,
2021-01-18,ret_20_div_vol_20,,
2021-01-18,ret_60_div_vol_60,,
2021-01-19,ret_1,-0.42536682004733717,-0.4224748826834473
2021-01-19,ret_3,-0.2081659108448353,-0.27459406494960803
2021-01-19,ret_5,-0.2980564393176191,-0.2737541993281075
2021-01-19,ret_10,-0.08317483046030924,-0.08682810750279955
2021-01-19,ret_20,,
2021-01-19,ret_60,,
2021-01-19,ret_120,,
2021-01-19,volatility_5,0.3820683968878456,0.3066069428891377
2021-01-19,volatility_10,0.40565291411072774,0.3393337066069429
2021-01-19,volatility_20,0.40510778989339075,0.35253359462486006
2021-01-19,volatility_60,,
2021-01-19,amplitude_5,0.3846771958710944,0.39738241881298997
2021-01-19,amplitude_10,0.2997127030520975,0.3164333706606943
2021-01-19,amplitude_20,0.26424378464216103,0.29969204927211646
2021-01-19,volume_mean_5,0.04903963161143403,0.02273236282194849
2021-01-19,volume_mean_20,0.04148628192600378,0.006131019036954087
2021-01-19,volume_mean_60,,
2021-01-19,amount_mean_5,0.22266209289865552,0.24325307950727884
2021-01-19,amount_mean_20,0.24158332328534293,0.23258678611422173
2021-01-19,amount_mean_60,,
2021-01-19,turnover_mean_5,0.22768262923104773,0.09392497200447929
2021-01-19,turnover_mean_20,0.18629348561171122,0.08275475923852184
2021-01-19,turnover_mean_60,,
2021-01-19,corr_ret_volume_10,-0.382609555421242,-0.4057110862262038
2021-01-19,corr_ret_volume_20,-0.3199341032997203,-0.30177771556550953
2021-01-19,corr_close_volume_20,-0.2831442449352566,-0.3103163493840986
2021-01-19,corr_ret_amount_20,-0.31997368165914736,-0.3042133258678612
2021-01-19,volume_chg_5_20,0.05571139001192353,0.09867021276595743
2021-01-19,amount_chg_5_20,0.03999400008696107,0.08205487122060472
2021-01-19,turnover_chg_5_20,0.04853811590465959,0.09703247480403136
2021-01-19,close_to_high_20,-0.36243981243944096,-0.3325447928331467
2021-01-19,close_to_low_20,0.05870207586866824,-0.0009378499440089586
2021-01-19,close_position_20,-0.22291699781849916,-0.18447712933038957
2021-01-19,close_position_60,,
2021-01-19,ret_20_div_vol_20,,
2021-01-19,ret_60_div_vol_60,,
2021-01-20,ret_1,0.3741826382849816,0.2341623535930967
2021-01-20,ret_3,0.0693481562789226,-0.052974709458294196
2021-01-20,ret_5,0.0011263621432200596,-0.03017322836493318
2021-01-20,ret_10,-0.02979462842761558,0.06808510638297872
2021-01-20,ret_20,,
2021-01-20,ret_60,,
2021-01-20,ret_120,,
2021-01-20,volatility_5,0.24066951063069844,0.236030235162374
2021-01-20,volatility_10,0.23187756084009833,0.1356942889137738
2021-01-20,volatility_20,0.21374536205562658,0.13889977603583425
2021-01-20,volatility_60,,
2021-01-20,amplitude_5,0.1629915972616017,0.23085106382978723
2021-01-20,amplitude_10,0.18024528009471305,0.14202127659574468
2021-01-20,amplitude_20,0.14050872493496866,0.14118141097424414
2021-01-20,volume_mean_5,0.042475120435440064,0.07541993281075027
2021-01-20,volume_mean_20,0.028799690774548203,0.0464585666293393
2021-01-20,volume_mean_60,,
2021-01-20,amount_mean_5,0.11650740950098054,0.09132138857782754
2021-01-20,amount_mean_20,0.1395972008700161,0.058398656215005604
2021-01-20,amount_mean_60,,
2021-01-20,turnover_mean_5,-0.007169974163504456,-0.11809910414333706
2021-01-20,turnover_mean_20,-0.03457496258902907,-0.15706886898096303
2021-01-20,turnover_mean_60,,
2021-01-20,corr_ret_volume_10,-0.2653006485560923,-0.1604003359462486
2021-01-20,corr_ret_volume_20,-0.24573776804145545,-0.1476343784994401
2021-01-20,corr_close_volume_20,-0.27386495292503715,-0.26979283314669655
2021-01-20,corr_ret_amount_20,-0.2332695962299689,-0.1266657334826428
2021-01-20,volume_chg_5_20,0.06988452918559326,0.2153835386338186
2021-01-20,amount_chg_5_20,0.042138920470079555,0.19340705487122062
2021-01-20,turnover_chg_5_20,0.07505713331114708,0.21311590145576706
2021-01-20,close_to_high_20,-0.14142985700288618,0.02420921125858629
2021-01-20,close_to_low_20,0.06725187330053109,0.06891097424412095
2021-01-20,close_position_20,-0.012090353381105007,0.06438969764837627
2021-01-20,close_position_60,,
2021-01-20,ret_20_div_vol_20,,
2021-01-20,ret_60_div_vol_60,,
2021-01-21,ret_1,0.32161274915751936,0.11637152684766831
2021-01-21,ret_3,0.2624863751771233,0.17225546817197182
2021-01-21,ret_5,0.13422239667620325,0.020912653975363942
2021-01-21,ret_10,-0.13971819923525358,-0.06541244978874032
2021-01-21,ret_20,,
2021-01-21,ret_60,,
2021-01-21,ret_120,,
2021-01-21,volatility_5,0.05261279092845617,-0.007656774916013438
2021-01-21,volatility_10,0.045137110595278654,-0.08059910414333707
2021-01-21,volatility_20,0.04018463045650115,-0.06244400895856663
2021-01-21,volatility_60,,
2021-01-21,amplitude_5,0.003555515343193768,-0.10909854423292273
2021-01-21,amplitude_10,-0.008445082800685458,-0.04455487122060471
2021-01-21,amplitude_20,-0.03226742937501726,-0.05071388577827547
2021-01-21,volume_mean_5,-0.02431929522812858,0.060498320268757
2021-01-21,volume_mean_20,-0.012552054336706142,0.03722004479283315
2021-01-21,volume_mean_60,,
2021-01-21,amount_mean_5,0.01605066333405994,-0.038269876819708844
2021-01-21,amount_mean_20,0.037207830653109675,-0.054801231802911535
2021-01-21,amount_mean_60,,
2021-01-21,turnover_mean_5,-0.12462204936913585,-0.27285834266517356
2021-01-21,turnover_mean_20,-0.13443978163087789,-0.27942329227323626
2021-01-21,turnover_mean_60,,
2021-01-21,corr_ret_volume_10,-0.08533261546450167,-0.009252519596864501
2021-01-21,corr_ret_volume_20,-0.12800519892451293,-0.037597984322508396
2021-01-21,corr_close_volume_20,-0.1598490520092075,-0.13899776035834266
2021-01-21,corr_ret_amount_20,-0.12020462614628466,-0.014767637178051513
2021-01-21,volume_chg_5_20,0.05061748118043783,0.12075867861142217
2021-01-21,amount_chg_5_20,0.020384160374688747,0.10061590145576707
2021-01-21,turnover_chg_5_20,0.05008215675831449,0.11875699888017917
2021-01-21,close_to_high_20,0.01173765785501411,0.1602743561030235
2021-01-21,close_to_low_20,-0.04632470822038718,-0.10933650615901455
2021-01-21,close_position_20,-0.01522712734925375,0.006424972004479283
