date,group,forward_return
2021-08-19,5,0.04543127076169536
2021-08-20,1,0.009079939312403713
2021-08-20,2,0.021183260988597737
2021-08-20,3,-0.0027982064613978515
2021-08-20,4,0.025695460514855228
2021-08-20,5,0.06592765782203945
2021-08-23,1,-0.0020706638431296776
2021-08-23,2,0.012401865300044893
2021-08-23,3,-0.01718720242544165
2021-08-23,4,0.013628739659046499
2021-08-23,5,0.04915658688929779
2021-08-24,1,0.0062051876605683735
2021-08-24,2,0.029313329510995405
2021-08-24,3,-0.0016307504259642604
2021-08-24,4,0.012271095344389275
2021-08-24,5,0.048957441161149445
2021-08-25,1,0.02163816479942705
2021-08-25,2,0.05837281152652086
2021-08-25,3,0.03724176956833749
2021-08-25,4,0.02890807718879598
2021-08-25,5,0.022077985771684155
2021-08-26,1,0.04083358247471273
2021-08-26,2,0.09912697344762957
2021-08-26,3,0.05250513899540098
2021-08-26,4,0.043374680464328845
2021-08-26,5,0.07149314957844098
2021-08-27,1,0.03445115885888197
2021-08-27,2,0.0745565408514327
2021-08-27,3,0.03677450912632276
2021-08-27,4,0.028368817949384628
2021-08-27,5,0.020887671938997404
2021-08-30,1,0.053916879718779384
2021-08-30,2,0.09297598607883702
2021-08-30,3,0.07445030548473176
2021-08-30,4,0.04637136890331985
2021-08-30,5,0.019839471933090127
2021-08-31,1,0.05034591661426804
2021-08-31,2,0.07734330472838895
2021-08-31,3,0.05945569845865563
2021-08-31,4,0.0401207755726981
2021-08-31,5,0.04254630667043644
2021-09-01,1,0.03256183906727129
2021-09-01,2,0.054081828508096605
2021-09-01,3,0.0197811747159629
2021-09-01,4,0.012381597606609653
2021-09-01,5,0.035240418994496446
2021-09-02,1,0.0340845649144617
2021-09-02,2,0.042280911588180904
2021-09-02,3,0.035523971554451104
2021-09-02,4,0.000976194032270333
2021-09-02,5,0.014697253273669464
2021-09-03,1,0.028129073651449364
2021-09-03,2,0.055972189154693236
2021-09-03,3,0.034020483378160014
2021-09-03,4,0.030383829531959904
2021-09-03,5,0.04062247279558236
2021-09-06,1,0.03120145848798011
2021-09-06,2,0.046467042481748176
2021-09-06,3,0.0315260502213402
2021-09-06,4,0.0028047183157192328
2021-09-06,5,0.02817309806251523
2021-09-07,1,0.0006598887038506473
2021-09-07,2,0.00497653549762787
2021-09-07,3,-0.007546297395536338
2021-09-07,4,-0.02055396478042945
2021-09-07,5,-0.030162059907963713
2021-09-08,1,-0.00042072445345139875
2021-09-08,2,-0.001471090377163823
2021-09-08,3,-0.006621358145998828
2021-09-08,4,-0.014371134049686561
2021-09-08,5,-0.01818172639041319
2021-09-09,1,-0.017068003891562954
2021-09-09,2,-0.015602882138361725
2021-09-09,3,-0.04473457925107828
2021-09-09,4,-0.03924847713585698
2021-09-09,5,-0.05801375003369689
2021-09-10,1,-0.02795919338418626
2021-09-10,2,-0.028657314006087935
2021-09-10,3,-0.04694877840996452
2021-09-10,4,-0.06556556948288944
2021-09-10,5,-0.07311311901178932
2021-09-13,1,-0.016650543647506722
2021-09-13,2,-0.0010624490546644898
2021-09-13,3,-0.03012987159228613
2021-09-13,4,-0.04486348743229815
2021-09-13,5,-0.028696410302558602
2021-09-14,1,0.00851839450311464
2021-09-14,2,0.006511547248322585
2021-09-14,3,-0.006538409041928332
2021-09-14,4,-0.017810217870654194
2021-09-14,5,-0.009679739046582415
2021-09-15,1,0.005146177910289612
2021-09-15,2,0.008382636365863321
2021-09-15,3,-0.013597580852064797
2021-09-15,4,-0.026914880571196124
2021-09-15,5,-0.02491157794708874
2021-09-16,1,0.017279381142752535
2021-09-16,2,0.011000719065571506
2021-09-16,3,-0.014943110069237852
2021-09-16,4,-0.011738338715154272
2021-09-16,5,-0.046644570578569515
2021-09-17,1,0.029169295627022324
2021-09-17,2,0.021374100189684022
2021-09-17,3,-0.0025357893087355828
2021-09-17,4,-0.0019978118983944595
2021-09-17,5,-0.03450688976350763
2021-09-22,1,0.013440258070606198
2021-09-22,2,0.0014955387978302472
2021-09-22,3,-0.037013756653623595
2021-09-22,4,-0.050358667690596
2021-09-22,5,-0.08035427456966178
2021-09-23,1,0.02097707909589172
2021-09-23,2,0.0305319227078082
2021-09-23,3,-0.021591774682632445
2021-09-23,4,-0.03018993598347759
2021-09-23,5,-0.05386217794030982
2021-09-24,1,0.02804448376965026
2021-09-24,2,0.03962213847065182
2021-09-24,3,-0.011006006936746424
2021-09-24,4,-0.018368064898342463
2021-09-24,5,-0.0603535800766968
2021-09-27,1,0.024027585914057265
2021-09-27,2,0.0348949997589595
2021-09-27,3,0.003874421927925595
2021-09-27,4,-0.008050336067496874
2021-09-27,5,-0.02238110807228193
2021-09-28,1,0.019978709953103267
2021-09-28,2,0.0326884268954614
2021-09-28,3,-0.011672377467335895
2021-09-28,4,-0.02107218720966147
2021-09-28,5,-0.047310445178526894
2021-09-29,1,0.012811793758406997
2021-09-29,2,0.032241874702712114
2021-09-29,3,0.0008465296883928801
2021-09-29,4,-0.012691216315842814
2021-09-29,5,-0.01963609634222559
2021-09-30,1,-0.002859706609483731
2021-09-30,2,0.0041133277429563925
2021-09-30,3,-0.004393176010405617
2021-09-30,4,-0.028714850558542625
2021-09-30,5,-0.051633983335579905
2021-10-08,1,-0.00972169032632315
2021-10-08,2,0.003912139051127387
2021-10-08,3,-0.009149275407278092
2021-10-08,4,-0.011787830044864389
2021-10-08,5,-0.018163653990991624
2021-10-11,1,-0.014295011490548465
2021-10-11,2,-0.009106733676476204
2021-10-11,3,-0.015283569458784268
2021-10-11,4,-0.009144525305413981
2021-10-11,5,0.008172717031175659
2021-10-12,1,-0.0033475334585655824
2021-10-12,2,0.00886468640887561
2021-10-12,3,-0.0038115495704110535
2021-10-12,4,0.0190794842911433
2021-10-12,5,0.025529609734472786
2021-10-13,1,0.003630940107515257
2021-10-13,2,-0.001990507742923969
2021-10-13,3,-0.010739007840277896
2021-10-13,4,0.010759601482376202
2021-10-13,5,0.044191262589812444
2021-10-14,1,0.014745689597578281
2021-10-14,2,0.020561663155100295
2021-10-14,3,0.002079857987531566
2021-10-14,4,0.002164327412224919
2021-10-14,5,0.03219949233802106
2021-10-15,1,0.0036852977309422275
2021-10-15,2,0.00400687038161414
2021-10-15,3,-0.0029926271879654933
2021-10-15,4,0.0026658133610203884
2021-10-15,5,0.00831567530901614
2021-10-18,1,0.014062711624148438
2021-10-18,2,0.015892142631538025
2021-10-18,3,0.008369344441223982
2021-10-18,4,0.014719174015531624
2021-10-18,5,0.01712588036397842
2021-10-19,1,-0.003717002512951878
2021-10-19,2,-0.002688713029335096
2021-10-19,3,-0.012331877698781102
2021-10-19,4,0.008719915056852183
2021-10-19,5,0.029109203869163332
2021-10-20,1,-0.01056415234971691
2021-10-20,2,-0.018474662667796925
2021-10-20,3,-0.01858339950071812
2021-10-20,4,-0.013654532288236853
2021-10-20,5,0.007497593968094263
2021-10-21,1,-0.018690877629427605
2021-10-21,2,-0.03570995793941969
